VAN_ID,Employer,Van_Type,Vehicle_Capacity,Industry,Industry_Type,O_MSA,O_Zip,D_MSA,D_Zip,Daily_Round_Trip_Mileage
4388,Naval Base San Diego,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,92592,Central,92136,118
4389,NASNI,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92563,Central,92135,142
4498,US Border Patrol,2021 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,East Suburban,91942,East County,91905,107
4499,US Border Patrol,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92071,East County,91962,82
4500,Staff Pro Workforce (Legoland),2020 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,100
4505,National Guard,2020 Nissan PATH - 7 Seats,7,Military,Military,Imperial County,92243,North City,92111,222
4511,Watkins Wellness,2021 Ford TRANS - 10 Seats,10,Manufacturing,Non_Military,Riverside County,92584,North County East,92081,108
4514,NASNI,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,92563,Central,92135,136
4515,BAE Systems,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92154,Central,92113,22
4523,NASNI,2022 Tesla Model Y - 7 Seats,7,Military,Military,Riverside County,92592,Central,92135,100
4524,VA Medical Center,2022 Kia Sorento - 7 Seats,7,Government & Public Administration,Non_Military,North County East,92028,North City,92161,118
4525,US Border Patrol,2020 Nissan PATH - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92021,East County,91962,70
4526,Nassco - General Dynamics,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92582,Central,92113,180
4527,Naval Base San Diego,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92562,Central,92136,144
4528,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,North City,92109,North City,92161,12
4530,NASNI,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92563,Central,92135,140
4533,UCSD,2019 Dodge DURA - 7 Seats,7,Education Services & Academic Institutions,Non_Military,South Suburban,91911,North City,92093,57
4534,Naval Base San Diego,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92591,Central,92136,128
4535,Naval Base San Diego,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92545,Central,92136,176
4536,MCRD,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92592,Central,92140,118
4537,VA Medical Center,2021 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92562,North City,92161,124
4538,VA Medical Center,2020 Buick ENCL - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91941,North City,92161,50
4541,VA Medical Center,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Central,91950,North City,92161,46
4542,Palomar Health,2019 Nissan PATH - 7 Seats,7,Health Care & Social Assistance,Non_Military,Riverside County,92592,North County East,92029,64
4543,Metropolitan Correctional Center,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92563,Central,92101,128
4544,Staff Pro Workforce (Legoland),2020 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,94
4545,RJ Donovan Correctional Facility,2020 Ford TRANS - 9 Seats,9,Government & Public Administration,Non_Military,Central,92114,South Suburban,92179,34
4549,Thermo Fisher Scientific,2020 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92562,North County West,92008,96
4551,VA Medical Center,2021 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,North County East,92081,North City,92161,74
4554,Staff Pro Workforce (Legoland),2021 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,94
4556,US Border Patrol,2022 Tesla Model Y - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92532,South Suburban,92173,140
4558,UCSD,2019 Ford TRANS - 8 Seats,8,Education Services & Academic Institutions,Non_Military,Central,91950,North City,92093,44
4559,Brightview Landscaping (Carlsbad),2021 Ford TRANS - 15 Seats,15,Other,Non_Military,South Suburban,92173,North County West,92008,98
4560,MCRD,2021 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92544,Central,92140,188
4561,VA Medical Center,2021 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92019,North City,92161,68
4562,VA Medical Center,2019 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92562,North City,92161,124
4563,VA Medical Center,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92585,North City,92161,148
4564,Staff Pro Workforce (Harrah's),2021 Ford TRANS - 15 Seats,15,"Arts, Entertainment, & Recreation",Non_Military,South Suburban,92173,North County East,92082,116
4565,Phillips,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92563,North City,92130,108
4566,Port of San Diego,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91913,Central,92101,40
4567,Palomar Health,2020 Chevrolet TRAV - 7 Seats,7,Health Care & Social Assistance,Non_Military,Riverside County,92591,North County East,92029,64
4569,Naval Base San Diego,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92591,Central,92136,128
4573,Staff Pro Workforce (Legoland),2021 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,94
4577,General Atomics,2020 Ford TRANS - 10 Seats,10,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North City,92064,102
4578,Staff Pro Workforce (Legoland),2021 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,90
4579,VA Medical Center,2019 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91910,North City,92161,50
4581,Magnaflow (Oceanside Plant),2021 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,Orange County,92701,North County West,92056,114
4582,Naval Base San Diego,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92562,Central,92136,154
4585,SD Unified School District,2020 Chevrolet TRAV - 7 Seats,7,Education Services & Academic Institutions,Non_Military,Riverside County,92563,North City,92111,112
4587,Nassco - General Dynamics,2020 Ford TRANS - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92562,Central,92113,138
4588,VA Medical Center,2020 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,Riverside County,92562,North City,92161,128
4589,Brightview Landscaping (Carlsbad),2021 Ford TRANS - 15 Seats,15,Other,Non_Military,North City,92121,Central,92113,30
4590,Camp Pendleton,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92562,North County West,92055,70
4591,NASNI,2021 Ford EXPL - 7 Seats,7,Military,Military,North County East,92025,Central,92135,74
4592,NASNI,2020 Ford TRANS - 7 Seats,7,Military,Military,North City,92128,Central,92135,52
4593,NASNI,2021 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92563,Central,92135,128
4597,Nassco - General Dynamics,2020 Buick ENCL - 7 Seats,7,Manufacturing,Non_Military,Imperial County,92231,Central,92113,255
4598,Nassco -General Dynamics,2022 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92592,Central,92113,124
4599,NASNI,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92592,Central,92135,198
4600,Nassco - General Dynamics,2021 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92562,Central,92113,124
4601,Nassco - General Dynamics,2020 Dodge DURA - 7 Seats,7,Manufacturing,Non_Military,East County,91901,Central,92113,86
4602,Watkins Wellness,2020 Ford TRANS - 15 Seats,15,Manufacturing,Non_Military,Central,91950,North County East,92081,86
4603,Watkins Wellness,2020 Ford TRANS - 15 Seats,15,Manufacturing,Non_Military,Central,91950,North County East,92081,86
4604,Naval Base San Diego,2020 Dodge DURA - 7 Seats,7,Military,Military,East Suburban,92065,Central,92136,74
4606,US Border Patrol,2019 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91910,East County,91962,108
4607,NASNI,2020 Buick ENCL - 7 Seats,7,Military,Military,North County West,92024,Central,92135,64
4609,US Border Patrol,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91942,East County,91905,107
4612,NASNI,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92586,Central,92135,160
4614,Naval Base Point Loma,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92563,Central,92106,138
4615,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92020,North City,92161,48
4616,VA Medical Center,2020 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,92154,North City,92161,50
4617,Staff Pro Workforce (Legoland),2021 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,94
4618,NASNI,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92591,Central,92135,132
4619,Staff Pro Workforce (Legoland),2021 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,90
4620,BAE Systems,2020 Nissan PATH - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92154,Central,92113,27
4621,US Border Patrol,2022 Tesla Model Y - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,South Suburban,92173,140
4622,US Border Patrol,2016 Tesla Model X - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,South Suburban,92173,140
4623,Nassco - General Dynamics,2019 Ford TRANS - 8 Seats,8,Manufacturing,Non_Military,Riverside County,92596,South Suburban,91910,154
4625,Navy Broadway Complex,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92563,Central,92132,142
4627,Naval Base San Diego,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92584,Central,92136,158
4629,Nassco - General Dynamics,2020 Ford TRANS - 10 Seats,10,Manufacturing,Non_Military,Imperial County,92251,Central,92113,309
4630,Nassco - General Dynamics,2019 Ford TRANS - 10 Seats,10,Manufacturing,Non_Military,Imperial County,92231,Central,92113,242
4631,Nassco - General Dynamics,2019 Ford TRANS - 8 Seats,8,Manufacturing,Non_Military,Imperial County,92231,Central,92113,238
4632,Nassco - General Dynamics,2019 Ford TRANS - 8 Seats,8,Manufacturing,Non_Military,Imperial County,92231,Central,92113,235
4634,NASNI,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92596,Central,92135,148
4635,VA Medical Center,2019 Ford EXPE - 8 Seats,8,Government & Public Administration,Non_Military,North County East,92069,North City,92161,62
4636,Staff Pro Workforce (Legoland),2021 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,97
4637,Staff Pro Workforce (Legoland),2019 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,97
4638,General Atomics,2021 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92591,North City,92064,96
4639,MCAS Miramar,2020 Dodge DURA - 7 Seats,7,Military,Military,Riverside County,92585,North City,92145,130
4640,Vista Courthouse - US District Court,2021 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92532,North County East,92081,98
4641,VA Medical Center,2020 Dodge DURA - 7 Seats,7,Government & Public Administration,Non_Military,North County West,92057,North City,92161,64
4642,VA Medical Center,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91911,North City,92161,52
4643,VA Medical Center,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91977,North City,92161,60
4645,Illumina,2021 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North City,92126,North City,92122,12
4646,Illumina,2022 Kia Sorento - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92591,North City,92122,132
4647,NASNI,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92563,Central,92135,150
4648,Illumina,2019 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Central,92114,North City,92122,45
4649,Nassco - General Dynamics,2020 Ford TRANS - 8 Seats,8,Manufacturing,Non_Military,Imperial County,92231,Central,92113,233
4650,Illumina,2021 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North County East,92078,North City,92122,62
4652,NASNI,2022 Kia Sorento - 7 Seats,7,Military,Military,Riverside County,92592,Central,92135,136
4654,General Atomics,2021 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Central,92139,North City,92064,54
4655,Naval Base San Diego,2021 Volkswagen ATLAS - 7 Seats,7,Military,Military,Riverside County,92592,Central,92136,124
4656,Illumina,2022 Kia Sorento - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North City,92128,North City,92122,38
4657,US Border Patrol,2021 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,East County,91962,Imperial County,92231,146
4658,Illumina,2022 Kia Sorento - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North County East,92078,North City,92122,13
4660,NASNI,2021 Ford TRANS - 8 Seats,8,Military,Military,East Suburban,92071,Central,92135,50
4661,NASNI,2020 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92562,Central,92135,138
4662,Camp Pendleton,2019 Ford TRANS - 8 Seats,8,Military,Military,Riverside County,92532,North County West,92055,78
4663,Naval Base San Diego,2022 Chevrolet TRAV - 7 Seats,7,Military,Military,East Suburban,92065,Central,92136,76
4667,Camp Pendleton,2019 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92563,North County West,92055,60
4669,Camp Pendleton,2020 Buick ENCL - 7 Seats,7,Military,Military,Riverside County,92563,North County West,92055,58
4670,General Atomics ASI (HQ),2022 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92563,North City,92128,96
4672,General Atomics ASI (HQ),2022 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Central,91950,North City,92064,52
4778,Naval Base San Diego,2020 Nissan PATH - 7 Seats,7,Military,Military,Riverside County,92584,Central,92136,154
4779,NASNI,2022 Chevrolet TRAV - 7 Seats,7,Military,Military,North City,92128,Central,92135,50
4780,General Atomics ASI,2022 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,East Suburban,91915,North City,92064,70
4781,General Atomics ASI,2021 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North City,92064,98
4782,BAE Systems,2021 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,East Suburban,92019,Central,92113,30
4783,BAE Systems,2020 Buick ENCL - 7 Seats,7,Manufacturing,Non_Military,South Suburban,91910,Central,92113,26
4784,BAE Systems,2021 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92592,Central,92113,120
4785,General Atomics ASI (HQ),2021 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Central,92105,North City,92064,40
4786,General Atomics ASI (HQ),2021 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92596,North City,92064,114
4787,General Atomics ASI (HQ),2020 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,South Suburban,91911,North City,92128,56
4788,NASNI,2020 Ford TRANS - 10 Seats,10,Military,Military,Riverside County,92545,Central,92135,170
4789,General Atomics ASI (HQ),2020 Ford TRANS - 10 Seats,10,"Professional, Scientific, & Technical Services",Non_Military,South Suburban,92154,North City,92064,62
4790,NAVY,2020 Ford EXPL - 7 Seats,7,Military,Military,Riverside County,92562,Central,92152,142
4791,General Atomics ASI (HQ),2021 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,South Suburban,91932,North City,92064,70
4792,Thermo Fisher Scientific,2019 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,East Suburban,91977,North County West,92008,86
4793,Illumina,2021 Volkswagen ATLAS - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92563,North City,92122,129
4795,Barona Casino,2021 Dodge DURA - 7 Seats,7,"Arts, Entertainment, & Recreation",Non_Military,South Suburban,91911,East Suburban,92040,64
4796,General Atomics,2021 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Central,92114,North City,92064,48
4797,General Atomics ASI (HQ),2021 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North City,92128,52
4798,General Atomics,2021 Dodge DURA - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,South Suburban,92154,North City,92064,70
4799,Staff Pro Workforce (Legoland),2019 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,96
4800,Brightview Landscaping,2022 Ford TRANS - 15 Seats,15,Other,Non_Military,Central,92114,North City,92121,87
4801,Barona Casino,2022 Chevrolet TRAV - 7 Seats,7,"Arts, Entertainment, & Recreation",Non_Military,East Suburban,92020,East Suburban,92040,28
4802,General Atomics ASI (HQ),2021 Ford EXPL - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North County East,92084,North City,92064,62
4803,GIA,2022 Kia Sorento - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,North County West,92008,72
4804,Camp Pendleton,2020 Ford TRANS - 7 Seats,7,Military,Military,Riverside County,92587,North County West,92058,84
4805,"Hempacco Co, Inc.",2021 Ford EXPE - 8 Seats,8,Manufacturing,Non_Military,South Suburban,92173,North City,92123,220
4806,General Atomics ASI (HQ),2022 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,North County West,92057,North City,92128,64
4807,General Atomics ASI (HQ),2022 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92563,North City,92128,94
4808,Staff Pro Workforce (Legoland),2022 Ford TRANS - 15 Seats,15,Accommodation,Non_Military,South Suburban,92173,North County West,92008,52
4809,Solar Turbines,2020 Ford TRANS - 9 Seats,9,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92562,Central,92101,136
4810,BAE Systems,2022 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92173,Central,92113,27
4811,NASNI,2020 Buick ENCL - 7 Seats,7,Military,Military,South Suburban,91913,Central,92135,40
4812,MCAS Miramar,2021 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92584,North City,92145,118
4813,Barona Casino,2021 Volkswagen ATLAS - 7 Seats,7,"Arts, Entertainment, & Recreation",Non_Military,East Suburban,92020,East Suburban,92040,32
4814,Tesla Oceanside,2021 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92562,North County West,92056,74
4815,Tesla Oceanside,2021 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92584,North County West,92056,126
4816,Tesla Oceanside,2022 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92532,North County West,92056,94
4818,Tesla Oceanside,2022 Chevrolet TRAV - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92530,North County West,92056,101
4820,ICE Southern California,2022 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,Riverside County,92592,Central,92101,126
4821,Willard Marine,2019 Ford EXPL - 7 Seats,7,Manufacturing,Non_Military,Riverside County,92882,North County West,92056,142
4822,Willard Marine,2019 Ford TRANS - 10 Seats,10,Manufacturing,Non_Military,Orange County,92806,North County West,92056,132
4823,Barona Casino,2019 Ford EXPL - 7 Seats,7,"Arts, Entertainment, & Recreation",Non_Military,East Suburban,92065,East Suburban,92040,22
4824,Solar Turbines,2021 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Riverside County,92592,Central,92101,117
4825,VA Medical Center,2021 Ford EXPL - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91914,North City,92123,44
4827,Watkins Wellness,2019 Ford TRANS - 15 Seats,15,Manufacturing,Non_Military,East Suburban,91941,North County East,92081,85
4828,General Atomics ASI (HQ),2022 Chevrolet TRAV - 7 Seats,7,"Professional, Scientific, & Technical Services",Non_Military,Central,92114,North City,92064,46
4829,NAVWAR - Old Town,2022 Ford TRANS - 7 Seats,7,Military,Military,North County East,92026,North City,92110,89
4831,Camp Pendleton,2020 Chevrolet TRAV - 7 Seats,7,Military,Military,Riverside County,92584,North County West,92058,94
4832,BAE Systems,2022 Kia Sorento - 7 Seats,7,Manufacturing,Non_Military,South Suburban,92173,Central,92113,24
4833,U.S. Border Patrol - Pine Valley,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,91942,East County,91962,84
4834,U.S. Border Patrol - Pine Valley,2020 Ford TRANS - 10 Seats,10,Government & Public Administration,Non_Military,Riverside County,92563,East County,91962,206
4835,U.S. Border Patrol - Pine Valley,2021 Volkswagen ATLAS - 7 Seats,7,Government & Public Administration,Non_Military,South Suburban,91911,East County,91962,110
4836,U.S. Border Patrol - Pine Valley,2021 Chevrolet TRAV - 7 Seats,7,Government & Public Administration,Non_Military,East Suburban,92021,East County,91962,84
